call	files	sites
isEncryptedFile	1	1
forEach	1	1
bytes.sublist	1	1
db.getResourceTypes	1	1
isEncrypted	1	1
BackupCrypto.decrypt	1	1
fhir.Bundle.fromJson	1	1
http.Client	1	1
criteria.trim	1	1
trimmed.indexOf	1	1
activate	1	1
supportedChannels.contains	1	1
supportedChannels.join	1	1
onResourceChanged	1	1
_queue.add	1	1
value	1	1
_queue.removeFirst	1	1
taken.complete	1	1
websockets.ping	1	1
endpoint.replaceAll	1	1
changed.toJsonString	1	1
fhir.FhirExtension	1	1
raw.indexOf	1	1
end.isAfter	1	1
_clock	1	1
fhir.SubscriptionStatusCodes	1	1
socketsFor	1	1
handleMessage	1	1
message.trim	1	1
trimmed.startsWith	1	1
replaceFirst	1	1
_bound.putIfAbsent	1	1
release	1	1
_bound.keys.toList	1	1
ping	1	1
sinks.toList	1	1
sinks.remove	1	1
BackupCrypto._	1	1
base64.encode	1	1
base64.decode	1	1
isEnvelope	1	1
decoded.containsKey	1	1
deriveKeyForMeasurement	1	1
out.toBytes	1	1
sublist	1	1
getChildrenByName	1	1
names.add	1	1
names.toList	1	1
ExportFileCrypto._	1	1
newKey	1	1
plaintextLength	1	1
file.length	1	1
file.setPosition	1	1
buffer.asByteData	1	1
take	1	1
_pending.takeBytes	1	1
fhirIdGrammar.hasMatch	1	1
leftIds.intersection	1	1
leftIds..addAll	1	1
all.difference	1	1
comparison.path.any	1	1
comparison.path.map	1	1
prefixed.contains	1	1
comparison.value.toLowerCase	1	1
comparators.contains	1	1
comparators.join	1	1
token.toLowerCase	1	1
FilterExpression	1	1
not	1	1
FilterOperator.parse	1	1
segments.add	1	1
buffer.toString	1	1
word.toLowerCase	1	1
fhir.StructureDefinition.fromJson	1	1
cache.getStructureDefinitions	1	1
sd.toJson	1	1
cache.getResourceNames	1	1
parseETag	1	1
firstMatch	1	1
resourceHeaders	1	1
parsePreferReturn	1	1
parsePreferHandling	1	1
preferredResponse	1	1
oo.toJsonString	1	1
pointer.startsWith	1	1
segment.replaceAll	1	1
current.add	1	1
current.insert	1	1
current.remove	1	1
current.removeAt	1	1
JwtSecret._	1	1
rng.nextInt	1	1
resolveForServer	1	1
file.readAsStringSync	1	1
Process.runSync	1	1
generateToken	1	1
generateRefreshToken	1	1
JWT.verify	1	1
token.split	1	1
base64Url.normalize	1	1
verifyAccessToken	1	1
verifyRefreshToken	1	1
PasswordHasher._	1	1
generateSalt	1	1
hashPassword	1	1
verifyPassword	1	1
convert	1	1
needsRehash	1	1
field.split	1	1
part.split	1	1
Argon2BytesGenerator	1	1
Argon2Parameters	1	1
generator.process	1	1
result.sublist	1	1
sb.write	1	1
b.toRadixString	1	1
padLeft	1	1
sb.toString	1	1
a.codeUnitAt	1	1
b.codeUnitAt	1	1
PasswordPolicy._	1	1
validate	1	1
_commonPasswords.contains	1	1
password.toLowerCase	1	1
updateSearchParameters	1	1
resource.updateVersion	1	1
params.contains	1	1
Pkce._	1	1
verifyCodeChallenge	1	1
host.send	1	1
reply.close	1	1
hostPort.listen	1	1
Isolate.spawn	1	1
port.first.timeout	1	1
Error.throwWithStackTrace	1	1
kill	1	1
port.close	1	1
hostPort.close	1	1
_Ok	1	1
shapeSummary	1	1
shapeElements	1	1
key.substring	1	1
names.contains	1	1
tags.any	1	1
tags.add	1	1
entry.value.any	1	1
kept.add	1	1
rules.add	1	1
kept.join	1	1
controlParameters.contains	1	1
known.contains	1	1
SearchParamDefinitions._	1	1
parseQueryParameters	1	1
has.add	1	1
unsupportedParams.contains	1	1
sort.addAll	1	1
include.addAll	1	1
revinclude.addAll	1	1
includeIterate.addAll	1	1
revincludeIterate.addAll	1	1
knownUnderscoreSearchParams.contains	1	1
hasSearchParameters	1	1
scope.indexOf	1	1
rest.indexOf	1	1
permsStr.split	1	1
validPerms.contains	1	1
perms.addAll	1	1
perms.add	1	1
permissions.join	1	1
defaultScopesForRole	1	1
isAuthorized	1	1
hasPatientScopes	1	1
isPatientOnlyContext	1	1
parsed.every	1	1
isOwnerCheckedOperation	1	1
_ownerCheckedOperations.contains	1	1
isPrivilegedSystemOperation	1	1
isSystemAuthorized	1	1
methodToPermission	1	1
httpMethod.toUpperCase	1	1
isRootOperation	1	1
isRootDataOperation	1	1
first.startsWith	1	1
_rootNoDataOperations.contains	1	1
isUnscopedDataAccessAuthorized	1	1
resourceScopesOf	1	1
scopes.where	1	1
grantScopes	1	1
granted.map	1	1
permissions.addAll	1	1
r.permissions.intersection	1	1
letters.join	1	1
allScopesParse	1	1
scopes.every	1	1
resourceTypeFromPath	1	1
resource.copyWith	1	1
copyWith	1	1
db.getResourceCount	1	1
loadSpecResources	1	1
specDir.existsSync	1	1
a.path.compareTo	1	1
file.path.split	1	1
specPath.replaceAll	1	1
fixturesDir.existsSync	1	1
file.readAsString	1	1
loadSpecResourcesFromAssets	1	1
assetKeys.where	1	1
k.endsWith	1	1
loadBytes	1	1
data.buffer.asUint8List	1	1
key.split	1	1
db.heldKeys	1	1
held.contains	1	1
NdjsonStream.resources	1	1
lines.where	1	1
line.trim	1	1
chunk.add	1	1
TokenHasher._	1	1
hash	1	1
