call	files	sites
_processRevIncludes	1	3
shapeResource	1	3
includedResourceIds.contains	1	3
_preconditionFailed	1	3
jwtService.verifyToken	1	3
_tryParseBody	1	3
_validateAgainstCodeSystem	1	3
_validateAgainstValueSet	1	3
_findValueSetByUrl	1	3
fhir.FhirBoolean	1	3
_filterContains	1	3
_findInExpansion	1	3
_containsCode	1	3
_tokenPair	1	2
dbInterface.getAllUsers	1	2
change	1	2
replace	1	2
db.getOAuthClientRedirect	1	2
_errorRedirect	1	2
loopback.contains	1	2
_readParameters	1	2
Directory.systemTemp.createTemp	1	2
sink.close	1	2
outcome.toJson	1	2
_passphraseHeader	1	2
_processTransaction	1	2
_processBatch	1	2
_buildUrnUuidMap	1	2
operations.add	1	2
resultBundle.toJsonString	1	2
_authorizeEntry	1	2
_entrySearch	1	2
bodyResource.toJson	1	2
_entryConditionalDelete	1	2
_BundleOperation	1	2
compartmentDefinitions.containsKey	1	2
SmartScopeEnforcer.isAuthorized	1	2
_buildSearchsetBundle	1	2
_parseEvaluateParams	1	2
_buildParametersResponse	1	2
_loadPatientData	1	2
_extractParameterValue	1	2
parts.add	1	2
_collectCompositionReferences	1	2
_parseAndFetchReference	1	2
refString.contains	1	2
references.add	1	2
refs.forEach	1	2
_failureOutcome	1	2
_CountingSink	1	2
plain.close	1	2
_processExport	1	2
fileName.contains	1	2
iterator.moveNext	1	2
rest	1	2
dbInterface.deleteExportJob	1	2
dir.existsSync	1	2
f.startsWith	1	2
filter.substring	1	2
filter.indexOf	1	2
dbInterface.searchIds	1	2
ids.where	1	2
outputManifest.add	1	2
FHIRPathEngine.create	1	2
WorkerContext	1	2
_tooCostly	1	2
_extractPatientId	1	2
_hasPatientResource	1	2
forecastFromMap	1	2
result.toJson	1	2
PatientNotFound	1	2
fhir.StructureMap.fromJson	1	2
_targetResourceType	1	2
resourceFromJson	1	2
_transformProgram	1	2
found.add	1	2
_mergeMeta	1	2
_subtractMeta	1	2
existing.copyWith	1	2
_searchParamsFor	1	2
_searchIncludesFor	1	2
_searchRevIncludes	1	2
_fhirPatchNotSupported	1	2
_handleAuthorizationCodeGrant	1	2
_handleRefreshTokenGrant	1	2
ReindexJob._	1	2
job.started.toIso8601String	1	2
type.toString	1	2
invalidParams.join	1	2
searchParameterFor	1	2
lacking.join	1	2
parameter	1	2
allowed.contains	1	2
dbInterface.getResourceCount	1	2
includedResources.addAll	1	2
includedResourceIds.addAll	1	2
FhirResponseShaper.shapeSummary	1	2
FhirResponseShaper.shapeElements	1	2
_includeBudgetOutcome	1	2
allIds.contains	1	2
includedResources.add	1	2
includedResourceIds.add	1	2
putResourceHandler	1	2
_refusal	1	2
pair.substring	1	2
_parseBody	1	2
valueSet.copyWith	1	2
fhir.ValueSetExpansion	1	2
expanded.toJsonString	1	2
dbInterface.fhirDao.expandValueSet	1	2
params.add	1	2
_findConceptMapByUrl	1	2
fhir.Coding	1	2
_resolveProfile	1	2
canonical.substring	1	2
registry.release	1	2
changePasswordHandler	1	1
listUsersHandler	1	1
resetPasswordHandler	1	1
setActiveHandler	1	1
dbInterface.deactivateUser	1	1
dbInterface.activateUser	1	1
setRoleHandler	1	1
validRoles.contains	1	1
validRoles.join	1	1
dbInterface.updateUserRole	1	1
setScopesHandler	1	1
body.containsKey	1	1
scopesError	1	1
dbInterface.updateUserScopes	1	1
db.updatePassword	1	1
db.bumpTokenGeneration	1	1
db.getUserById	1	1
authStatusHandler	1	1
authorizeGetHandler	1	1
authorizePostHandler	1	1
authorizeJsonHandler	1	1
_Outcome	1	1
