time	http	seconds	uptime
14:37:25	200	0.963653	795
14:37:36	200	1.052631	806
14:37:47	200	0.240316	817
14:37:58	200	0.691312	827
14:38:09	200	0.340399	838
14:38:19	200	0.679433	848
14:38:30	200	0.433592	859
14:38:40	200	0.432941	869
14:38:51	200	0.464112	880
14:39:01	200	0.825576	891
14:39:12	200	0.186466	901
14:39:22	200	0.345468	912
14:39:33	200	0.501970	922
14:39:43	200	0.311275	932
14:39:54	200	0.425953	943
14:40:04	200	0.526727	953
14:40:15	200	0.553014	964
14:40:25	200	0.327105	974
14:40:36	200	0.863915	985
14:40:47	200	0.757734	996
14:40:57	200	0.359008	1007
14:41:08	200	0.386440	1017
14:41:18	200	0.360449	1027
14:41:29	200	0.318974	1038
14:41:39	200	0.787285	1049
14:41:50	200	1.045170	1060
14:42:01	200	0.774236	1071
14:42:12	200	0.290262	1081
14:42:22	200	0.496716	1092
14:42:33	200	0.189426	1102
14:42:43	200	0.658153	1112
14:42:54	200	0.423415	1123
14:43:04	200	0.678209	1134
14:43:15	200	0.619661	1144
14:43:26	200	0.468643	1155
14:43:36	200	0.308970	1165
14:43:46	200	0.194004	1175
14:43:57	200	1.086614	1187
14:44:08	200	0.512280	1197
14:44:18	200	0.976118	1208
14:44:29	200	0.346754	1219
14:44:40	200	0.806491	1229
14:44:51	200	0.354184	1240
14:45:01	200	0.437018	1250
14:45:12	200	0.188748	1261
14:45:22	200	0.201465	1271
14:45:32	200	0.508054	1281
14:45:43	200	0.833887	1292
14:45:53	200	0.847057	1303
14:46:04	200	0.615663	1314
14:46:15	200	0.284390	1324
14:46:25	200	0.930616	1335
14:46:36	200	0.426302	1346
14:46:47	200	0.831516	1357
14:46:58	200	0.213317	1367
14:47:08	200	0.436889	1377
14:47:18	200	0.376676	1388
14:47:29	200	0.927049	1399
14:47:40	200	0.226689	1409
14:47:50	200	0.352395	1419
14:48:01	200	0.250827	1430
14:48:11	200	0.502206	1440
14:48:21	200	0.377219	1451
14:48:32	200	0.142759	1461
14:48:42	200	0.239442	1471
14:48:52	200	0.481845	1482
14:49:03	200	0.114586	1492
14:49:13	200	0.252556	1502
14:49:23	200	0.853047	1513
14:49:34	200	0.258477	1523
14:49:45	200	0.664566	1534
14:49:55	200	0.403960	1545
14:50:06	200	0.392022	1555
14:50:16	200	0.278043	1565
14:50:27	200	0.211532	1576
14:50:37	200	0.327759	1586
14:50:47	200	0.254484	1596
14:50:57	200	0.304777	1607
14:51:08	200	0.372080	1617
14:51:18	200	0.916954	1628
14:51:29	200	0.908652	1639
14:51:40	200	0.341709	1649
14:51:51	200	0.256739	1660
14:52:01	200	0.682489	1670
14:52:12	200	0.062656	1681
14:52:22	200	0.275399	1691
14:52:32	200	0.353839	1701
14:52:42	200	0.251526	1712
14:52:53	200	0.301374	1722
14:53:03	200	0.283063	1732
14:53:13	200	0.573928	1743
14:53:24	200	0.738081	1754
14:53:35	200	0.260771	1764
14:53:45	200	0.368258	1774
14:53:56	200	0.578135	1785
14:54:06	200	0.714287	1796
14:54:17	200	0.967877	1807
14:54:28	200	0.879272	1818
14:54:39	200	0.157010	1828
14:54:49	200	0.213756	1838
14:54:59	200	0.167977	1849
14:55:10	200	0.301214	1859
14:55:20	200	0.243515	1869
14:55:30	200	0.906980	1880
14:55:41	200	0.265543	1890
14:55:52	200	0.536814	1901
14:56:02	200	0.567696	1912
14:56:13	200	0.603505	1922
14:56:23	200	0.842055	1933
14:56:34	200	0.695945	1944
14:56:45	200	0.779729	1955
14:56:56	200	0.301043	1965
14:57:06	200	0.435452	1976
14:57:17	200	0.857236	1986
