time	http	seconds	uptime
14:07:00	200	0.122732	44
14:07:11	200	0.106130	55
14:07:21	200	0.097431	65
14:07:31	200	0.106841	75
14:07:41	200	0.088367	85
14:07:51	200	0.116703	95
14:08:01	200	0.079813	105
14:08:11	200	0.101099	115
14:08:22	200	0.096027	126
14:08:32	200	0.131012	136
14:08:42	200	0.142186	146
14:08:52	200	0.096896	156
14:09:02	200	0.182051	166
14:09:12	200	0.122932	176
14:09:23	200	0.073981	187
14:09:33	200	0.095841	197
14:09:43	200	0.114149	207
14:09:53	200	0.078476	217
14:10:03	200	0.216053	227
14:10:13	200	0.079847	237
14:10:23	200	0.098725	247
14:10:34	200	0.448534	258
14:10:44	200	0.167360	268
14:10:54	200	0.101076	278
14:11:04	200	0.211203	289
14:11:15	200	0.090622	299
14:11:25	200	0.111357	309
14:11:35	200	0.091125	319
14:11:45	200	0.110139	329
14:11:55	200	0.062180	339
14:12:05	200	0.101428	349
14:12:15	200	0.047020	359
14:12:26	200	0.181263	370
14:12:36	200	0.111852	380
14:12:46	000	0.312626	
14:12:56	000	0.406347	
14:13:07	000	0.118241	
14:13:17	000	0.091831	
14:13:27	000	0.202876	
14:13:37	000	0.091162	
14:13:47	000	0.099517	
14:13:58	000	0.097178	
14:14:08	000	0.106563	
14:14:18	000	0.098596	
14:14:28	000	0.211263	
14:14:38	000	0.109245	
14:14:48	000	0.090093	
14:14:58	000	0.115667	
14:15:09	000	0.077529	
14:15:19	000	0.112583	
14:15:29	000	0.077089	
14:15:39	000	0.165548	
14:15:49	000	0.144576	
14:15:59	000	0.079822	
14:16:10	000	0.100933	
14:16:20	000	0.115771	
14:16:30	000	0.026983	
14:16:40	000	0.028495	
14:16:50	000	0.102740	
14:17:00	000	0.122531	
14:17:10	000	0.082098	
14:17:20	000	0.007047	
14:17:30	000	0.081472	
14:17:41	000	0.114535	
14:17:51	000	0.032420	
14:18:01	000	0.059605	
14:18:11	000	0.095813	
14:18:21	000	0.103866	
14:18:31	000	0.005968	
14:18:41	000	0.062531	
14:18:51	000	0.116295	
