time	http	seconds	uptime
13:53:27	200	0.183646	1257
13:53:37	200	0.160976	1267
13:53:48	200	0.115546	1277
13:53:58	200	0.070164	1287
13:54:08	200	0.078711	1297
13:54:18	200	0.227356	1308
13:54:28	200	0.143963	1318
13:54:38	200	0.187681	1328
13:54:49	200	0.078810	1338
13:54:59	200	0.098679	1348
13:55:09	200	0.093134	1358
13:55:19	200	0.183917	1369
13:55:29	200	0.115010	1379
13:55:39	200	0.127555	1389
13:55:50	200	0.139204	1399
13:56:00	200	0.146267	1409
13:56:10	200	0.073250	1419
13:56:20	200	0.192321	1430
13:56:30	200	0.104352	1440
13:56:40	200	0.125679	1450
13:56:51	200	0.068613	1460
13:57:01	200	0.177501	1470
13:57:11	200	0.133948	1481
13:57:21	200	0.107150	1491
13:57:31	200	0.203658	1501
13:57:41	200	0.203061	1511
13:57:52	200	0.245411	1521
13:58:02	200	0.186146	1532
13:58:12	200	0.209445	1542
13:58:22	200	0.072047	1552
13:58:33	200	0.139718	1562
13:58:43	200	0.111063	1572
13:58:53	200	0.057175	1583
13:59:03	200	0.054329	1593
13:59:13	000	0.057620	
13:59:23	000	0.923272	
13:59:34	000	0.129955	
13:59:44	000	0.116722	
13:59:54	000	0.095916	
14:00:05	000	0.241034	
14:00:15	000	0.051489	
14:00:25	000	0.047579	
14:00:35	000	0.007309	
14:00:45	000	0.030016	
14:00:55	000	0.093881	
14:01:05	000	0.093823	
14:01:15	000	0.096814	
14:01:26	000	0.096729	
14:01:36	000	0.086931	
14:01:46	000	0.099748	
14:01:56	000	0.098249	
14:02:06	000	0.091797	
14:02:16	000	0.100290	
14:02:26	000	0.103988	
14:02:37	000	0.086399	
14:02:47	000	0.110058	
14:02:57	000	0.079989	
14:03:07	000	0.095261	
14:03:17	000	0.098749	
