time	http	seconds	uptime
13:43:06	200	0.034664	636
13:43:16	200	0.120496	646
13:43:27	200	0.117381	656
13:43:37	200	0.083059	666
13:43:47	200	0.096345	677
13:43:57	200	0.094784	687
13:44:07	200	0.093912	697
13:44:17	200	0.115740	707
13:44:27	200	0.367066	717
13:44:38	200	0.161014	728
13:44:48	200	0.236814	738
13:44:58	200	0.141631	748
13:45:09	200	0.069810	758
13:45:19	200	0.115043	768
13:45:29	200	0.090339	778
13:45:39	200	0.124440	789
13:45:49	200	0.094474	799
13:45:59	200	0.091274	809
13:46:09	200	0.115093	819
13:46:19	200	0.220756	829
13:46:30	200	0.094965	839
13:46:40	200	0.100619	850
13:46:50	200	0.105751	860
13:47:00	200	0.119399	870
13:47:10	200	0.078408	880
13:47:20	200	0.098989	890
13:47:31	200	0.105148	900
13:47:41	200	0.099909	910
13:47:51	200	0.096139	920
13:48:01	200	0.094808	931
13:48:11	200	0.113486	941
13:48:21	200	0.117748	951
13:48:31	200	0.184555	961
13:48:42	200	0.121011	971
13:48:52	200	0.162180	982
13:49:02	200	0.101242	992
13:49:12	200	0.085897	1002
13:49:22	200	0.115087	1012
13:49:32	200	0.096850	1022
13:49:43	200	0.085807	1032
13:49:53	200	0.112835	1042
13:50:03	200	0.093187	1052
13:50:13	200	0.107803	1063
13:50:23	200	0.070557	1073
13:50:33	200	0.076837	1083
13:50:43	200	0.078706	1093
13:50:53	200	0.160492	1103
13:51:04	200	0.097077	1113
13:51:14	200	0.111474	1123
13:51:24	200	0.101985	1134
13:51:34	200	0.116804	1144
13:51:44	200	0.102181	1154
13:51:54	200	0.050636	1164
13:52:04	200	0.118893	1174
13:52:15	200	0.121923	1184
13:52:25	200	0.171803	1195
13:52:35	200	0.112934	1205
13:52:45	200	0.090105	1215
13:52:55	200	0.066912	1225
13:53:05	200	0.122363	1235
