time	http	seconds	uptime
11:43:19	200	0.079296	861
11:43:29	200	0.114303	872
11:43:40	200	0.122712	882
11:43:50	200	0.230355	892
11:44:00	200	0.178804	902
11:44:10	200	0.080362	912
11:44:20	200	0.085817	922
11:44:30	200	0.117858	933
11:44:41	200	0.088464	943
11:44:51	200	0.209053	953
11:45:01	200	0.080023	963
11:45:11	200	0.186796	973
11:45:21	200	0.070650	983
11:45:31	200	0.069248	994
11:45:42	200	0.084330	1004
11:45:52	200	0.183214	1014
11:46:02	200	0.068866	1024
11:46:12	200	0.127537	1034
11:46:22	200	0.180611	1044
11:46:32	200	0.100350	1055
11:46:43	200	0.598388	1065
11:46:53	200	0.205184	1075
11:47:03	200	0.116646	1086
11:47:14	200	0.117253	1096
11:47:24	200	0.082554	1106
11:47:34	200	0.049063	1116
11:47:44	200	0.158337	1126
11:47:54	200	0.069626	1136
11:48:04	200	0.284243	1147
11:48:15	200	0.159274	1157
11:48:25	200	0.084824	1167
11:48:35	200	0.219117	1177
11:48:45	200	0.065210	1187
11:48:55	200	0.188758	1197
11:49:05	200	0.172065	1208
11:49:16	200	0.085344	1218
11:49:26	200	0.046574	1228
11:49:36	200	0.083678	1238
11:49:46	200	0.088171	1248
11:49:56	200	0.050419	1258
11:50:06	200	0.062591	1268
11:50:16	200	0.058316	1278
11:50:26	200	0.055261	1288
11:50:36	200	0.107736	1299
11:50:47	200	0.072539	1309
11:50:57	200	0.044197	1319
11:51:07	200	0.057033	1329
11:51:17	200	0.141533	1339
11:51:27	200	0.144773	1349
11:51:37	200	0.049736	1359
11:51:47	200	0.052804	1369
11:51:57	200	0.236988	1380
11:52:08	200	0.060455	1390
11:52:18	200	0.078736	1400
11:52:28	200	0.047217	1410
11:52:38	200	0.099461	1420
11:52:48	200	0.043689	1430
11:52:58	200	0.052400	1440
11:53:08	200	0.045240	1450
11:53:18	200	0.061767	1460
11:53:28	200	0.055441	1470
11:53:38	200	0.048277	1481
11:53:49	200	0.085198	1491
11:53:59	200	0.048196	1501
11:54:09	200	0.064731	1511
11:54:19	200	0.059649	1521
11:54:29	200	0.054942	1531
11:54:39	200	0.134528	1541
11:54:49	200	0.054538	1551
11:54:59	200	0.057493	1561
11:55:09	200	0.047305	1571
11:55:19	200	0.052265	1582
11:55:29	200	0.064856	1592
11:55:40	200	0.054284	1602
11:55:50	200	0.050385	1612
11:56:00	200	0.055041	1622
11:56:10	200	0.054762	1632
11:56:20	200	0.110024	1642
11:56:30	200	0.056824	1652
11:56:40	200	0.048804	1662
11:56:50	200	0.051368	1672
11:57:00	200	0.043422	1682
11:57:10	200	0.122365	1693
11:57:21	200	0.044036	1703
11:57:31	200	0.132382	1713
11:57:41	200	0.068489	1723
11:57:51	200	0.072176	1733
11:58:01	200	0.046707	1743
11:58:11	200	0.166652	1753
11:58:21	200	0.043329	1763
11:58:31	200	0.060274	1773
11:58:41	200	0.052887	1783
11:58:51	200	0.055924	1794
11:59:02	200	0.090427	1804
11:59:12	200	0.063918	1814
11:59:22	200	0.066073	1824
11:59:32	200	0.269227	1834
11:59:42	200	0.135276	1844
11:59:52	200	0.055214	1854
12:00:02	200	0.052080	1865
12:00:13	200	0.057735	1875
12:00:23	200	0.036186	1885
12:00:33	200	0.047667	1895
12:00:43	200	0.055956	1905
12:00:53	200	0.055681	1915
12:01:03	200	0.053404	1925
12:01:13	200	0.057249	1935
12:01:23	200	0.082275	1945
12:01:33	200	0.041158	1955
