time	http	seconds	uptime
14:25:18	200	0.028812	67
14:25:28	200	0.106360	77
14:25:38	200	0.240442	87
14:25:48	200	0.115660	97
14:25:58	200	0.109553	107
14:26:08	200	0.138719	117
14:26:19	200	0.269270	128
14:26:29	200	0.190431	138
14:26:39	200	0.089788	148
14:26:49	200	0.109635	158
14:26:59	200	0.113299	168
14:27:10	200	0.100963	179
14:27:20	200	0.135353	189
14:27:30	200	0.182511	199
14:27:40	200	0.098229	209
14:27:50	200	0.094642	219
14:28:00	200	0.093353	229
14:28:10	200	0.110429	239
14:28:21	200	0.083191	250
14:28:31	200	0.177404	260
14:28:41	200	0.117663	270
14:28:51	200	0.102101	280
14:29:01	200	0.080296	290
14:29:11	200	0.084735	300
14:29:22	200	0.102438	311
14:29:32	200	0.170401	321
14:29:42	200	0.092030	331
14:29:52	200	0.105585	341
14:30:02	200	0.080637	351
14:30:12	200	0.120938	361
14:30:23	200	0.212723	372
14:30:33	200	0.183820	382
14:30:43	200	0.200719	392
14:30:53	200	0.177976	402
14:31:03	200	0.343406	413
14:31:14	200	0.817785	424
14:31:25	200	0.581851	434
14:31:35	200	0.311089	445
14:31:46	200	0.305217	455
14:31:56	200	0.584121	466
14:32:07	200	0.333464	476
14:32:17	200	0.581383	487
14:32:28	200	1.001106	498
14:32:39	200	0.374895	508
14:32:49	200	0.788511	519
14:33:00	200	1.112682	530
14:33:11	200	0.257618	540
14:33:21	200	0.207185	551
14:33:32	200	0.784519	561
14:33:43	200	0.720068	572
14:33:53	200	0.397744	583
14:34:04	200	0.285302	593
14:34:14	200	0.219973	603
14:34:24	200	0.289020	614
14:34:35	200	0.475667	624
14:34:45	200	0.577428	635
14:34:56	200	0.559949	645
14:35:07	200	0.230708	656
14:35:17	200	0.192188	666
14:35:27	200	0.297192	676
14:35:37	200	0.355422	687
14:35:48	200	0.375116	697
14:35:58	200	0.221780	707
14:36:09	200	0.343054	718
14:36:19	200	0.404929	728
14:36:29	200	0.315474	739
14:36:40	200	0.362235	749
14:36:50	200	0.281190	759
14:37:00	200	0.463229	770
14:37:11	200	0.444872	780
