label	query	round	ms	hits	paged_in_sql
after3	value-quantity=lt0.0001	2	15	20	true
after3	value-quantity=sa99999	1	8	6	true
after3	value-quantity=sa99999	2	5	6	true
after3	value-quantity=12345.678	1	3	0	true
after3	value-quantity=12345.678	2	1	0	true
after3	date=ge2150	1	31	20	true
after3	date=ge2150	2	16	20	true
after3	date=2137	1	26	20	true
after3	date=2137	2	21	20	true
after3	_lastUpdated=ge2999	1	3	0	true
after3	_lastUpdated=ge2999	2	1	0	true
after3	_lastUpdated=ge2100	1	1	0	true
after3	_lastUpdated=ge2100	2	1	0	true
after3	count value-quantity=gt100	1	125	56519	-
after3	count value-quantity=gt100	2	72	56519	-
after3	count value-quantity=gt99999	1	0	6	-
after3	count value-quantity=gt99999	2	0	6	-
after3	count value-quantity=le5	1	225	128584	-
after3	count value-quantity=le5	2	230	128584	-
after3	count date=ge2150	1	290	313795	-
after3	count date=ge2150	2	295	313795	-
after4	value-quantity=gt100	1	258	20	true
after4	value-quantity=gt100	2	18	20	true
after4	value-quantity=lt5	1	28	20	true
after4	value-quantity=lt5	2	28	20	true
after4	value-quantity=ge100	1	27	20	true
after4	value-quantity=ge100	2	23	20	true
after4	value-quantity=le5	1	25	20	true
after4	value-quantity=le5	2	32	20	true
after4	value-quantity=100	1	34	20	true
after4	value-quantity=100	2	34	20	true
after4	value-quantity=ap100	1	51	20	true
after4	value-quantity=ap100	2	26	20	true
after4	value-quantity=gt100&code=8867-4	1	180	20	true
after4	value-quantity=gt100&code=8867-4	2	166	20	true
after4	value-quantity=gt99999	1	10	6	true
after4	value-quantity=gt99999	2	8	6	true
after4	value-quantity=lt0.0001	1	22	20	true
after4	value-quantity=lt0.0001	2	17	20	true
after4	value-quantity=sa99999	1	6	6	true
after4	value-quantity=sa99999	2	5	6	true
after4	value-quantity=12345.678	1	2	0	true
after4	value-quantity=12345.678	2	2	0	true
after4	date=ge2150	1	39	20	true
after4	date=ge2150	2	28	20	true
after4	date=2137	1	18	20	true
after4	date=2137	2	23	20	true
after4	_lastUpdated=ge2999	1	3	0	true
after4	_lastUpdated=ge2999	2	1	0	true
